id,nombre,horasTrabajadas,sueldo
910,Mortie,114,20520
911,Dun,132,24480
912,Ailyn,186,42700
913,Reggi,115,20700
914,Sheppard,112,20160
915,Curt,240,61600
916,Boigie,212,51800
917,Dulci,183,41650
918,Lisette,211,51450
919,Kimmie,143,27120
920,Sibilla,237,60550
921,Faunie,137,25680
922,Loria,154,29760
923,Nealon,175,38850
924,Skipp,137,25680
925,Tiena,95,17100
926,Galvin,195,45850
927,Erda,135,25200
928,Lulita,197,46550
929,Ringo,181,40950
930,Conn,115,20700
931,Allyson,91,16380
932,Joya,178,39900
933,Rafferty,87,15660
934,Debby,181,40950
935,Anne-marie,231,58450
936,Clayson,229,57750
937,Jennine,115,20700
938,Drona,164,35000
939,Brynna,196,46200
940,Francisco,140,26400
941,Charlene,176,39200
942,Egor,189,43750
943,Westleigh,88,15840
944,Suzanna,142,26880
945,Noe,105,18900
946,Dewey,145,27600
947,Cornelius,226,56700
948,Georgie,184,42000
949,Sherman,182,41300
950,Humphrey,211,51450
951,Vale,210,51100
952,Chiquita,181,40950
953,Burr,102,18360
954,Harmonia,179,40250
955,Giacomo,190,44100
956,Brian,196,46200
957,Irwinn,174,38500
958,Ashleigh,216,53200
959,Morty,192,44800
960,Chaddy,227,57050
961,Garik,97,17460
962,Cookie,100,18000
963,Waldo,207,50050
964,Mariam,216,53200
965,Bryna,102,18360
966,Joannes,147,28080
967,Donielle,186,42700
968,Emma,227,57050
969,Normand,109,19620
970,Gavrielle,125,22800
971,Seumas,96,17280
972,Wyatt,176,39200
973,Bogart,174,38500
974,Ellette,215,52850
975,Enrico,123,22320
976,Christoffer,153,29520
977,Riannon,209,50750
978,Jenelle,110,19800
979,Fredrika,143,27120
980,Francisco,85,15300
981,Torr,234,59500
982,Valerye,136,25440
983,Anthia,84,15120
984,Stormi,135,25200
985,Randal,119,21420
986,Hugh,142,26880
987,Marlane,92,16560
988,Tybie,109,19620
989,Bethanne,236,60200
990,Karoly,85,15300
991,Wendie,225,56350
992,Giselle,175,38850
993,Sisely,158,30720
994,Jen,152,29280
995,Tabbie,110,19800
996,Mab,127,23280
997,Viole,131,24240
998,Abbye,125,22800
999,Lauralee,95,17100
1000,Jessie,175,38850
